Segmento,NCM,Descrição,II_%,IPI_%,PIS_%,COFINS_%,Anuência,Origem,Destino,Incoterm,Moeda,Câmbio_BRLUSD,FOB,Frete_internacional,Seguro_internacional,Outras_despesas_origem,Outras_despesas_destino,Valor_aduaneiro_CIF,II_valor,Base_IPI,IPI_valor,Base_PIS_COFINS,PIS_valor,COFINS_valor,AFRMM,Taxa_Siscomex,ICMS,CBS_to_be,IBS_to_be,Custo_as_is,Custo_to_be
,3301.29.12,De cedro,0.0,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.13,De pau-santo (Bulnesia sarmientoi),12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.14,De lemongrass,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.15,De pau-rosa,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.16,De palma rosa,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.17,De coriandro,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.18,De cabreúva,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.19,De eucalipto,10.8,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.21,De alfazema ou lavanda,0.0,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.29.22,De vetiver,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
